TEMP_ID,SEX,DEPARTMENT,TCAS ROUND,FIRST_GPA,SECOND_GPA,GPAX,COMP_PROG_REG_SEM,COMP_PROG_GRADE,COMP_PROG_ATMPT,EXPLORE_ENG_GRADE,EXPLORE_ENG_ATMPT,ENG_MATERIAL_GRADE,ENG_MATERIAL_ATMPT,GEN_CHEM_GRADE,GEN_CHEM_ATMPT,GEN_CHEMLAB_GRADE,GEN_CHEMLAB_ATMPT,ENG_DRAWING_GRADE,ENG_DRAWING_ATMPT
A035,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.74,2.59,2.67,1,C+,1,A,1,C+,1,C+,1,B,1,A,1
A036,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.61,3.35,3.49,1,A,1,A,1,A,1,B,1,B+,1,A,1
A037,M,ภาควิชาวิศวกรรมอุตสาหการ,TCAS3 Admissions,3.37,3.29,3.33,1,B,1,A,1,B+,1,B,1,A,1,B+,1
A038,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,2.03,2.26,2.38,1,D,1,A,1,D+,1,C,1,C+,1,B,1
A039,M,ภาควิชาวิศวกรรมเครื่องกล,TCAS3 Admissions,3.05,2.47,2.78,1,B+,1,A,1,C+,1,D+,1,B+,1,B,1
A040,F,ภาควิชาวิศวกรรมคอมพิวเตอร์,TCAS3 Admissions,3.92,3.65,3.79,1,A,1,A,1,A,1,A,1,A,1,A,1
A041,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,3.11,2.88,3.00,1,C+,1,A,1,B,1,C+,1,B+,1,C+,1
A042,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,3.19,2.38,2.64,1,C,2,A,1,C,2,B,1,A,1,D,1
A043,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.76,1.71,2.26,1,C+,1,A,1,C+,1,D,1,C+,1,D,1
A044,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.26,2.71,3.00,1,B+,1,A,1,B,1,C+,1,B,1,C+,1
A045,F,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,2.89,3.38,3.18,1,B+,1,A,1,B,1,B+,1,B+,1,A,1
A046,M,ภาควิชาวิศวกรรมโยธา,TCAS3 Admissions,2.32,2.03,2.21,1,D+,1,A,1,C,1,C+,1,B,1,D+,1
A047,M,ภาควิชาวิศวกรรมไฟฟ้า,TCAS3 Admissions,3.21,2.82,3.03,1,B,1,A,1,A,1,C+,1,B,1,B,1
